group,names,scores,logfoldchanges,pvals,pvals_adj
12,Cyp26b1,4.1319036,2.530579,3.59771279607669e-05,0.009968485
12,Reln,4.1290264,1.3388414,3.643025136337898e-05,0.009968485
12,Grm3,4.128341,1.4682245,3.6538933775585644e-05,0.009968485
12,Cadps2,3.835143,1.7045889,0.000125491,0.022152887925834072
12,2610027F03Rik,3.7721193,3.4304466,0.000161867,0.026986808993576184
12,Rorb,3.7293725,1.3070817,0.000191957,0.028803176191919088
12,Pax3,3.5830474,2.1298866,0.000339609,0.046325748727283296
12,Tmem132c,3.5696206,1.2345138,0.000357499,0.046645804
2,Snhg11,20.364788,1.6137844,3.433358961510754e-92,9.723997313508859e-89
2,Lingo2,18.59527,1.1170074,3.509415756128413e-77,1.7552927806902278e-74
2,Lrrc4c,18.341322,1.1055373,3.872707310347272e-75,1.6602849483360235e-72
2,Csmd3,18.072346,1.2635666,5.262687934472608e-73,1.974165811419037e-70
2,Sgcz,16.284353,1.0903374,1.2747112142806167e-59,3.1878402950467755e-57
2,Pcdh15,16.112694,1.1964707,2.0776913822244362e-58,4.7962706446581025e-56
2,Lrrtm4,15.8354645,1.0642604,1.7714507530256118e-56,3.797231221307044e-54
2,Grid2,15.427024,1.0662898,1.0772446234295936e-53,2.1552074099414735e-51
2,Rmst,15.00526,1.0824873,6.78238382535282e-51,1.0712596768359902e-48
2,C130073E24Rik,14.93555,1.6497931,1.9347310235017736e-50,2.903063900764411e-48
2,Cntnap5a,14.829716,1.5102366,9.413110556246635e-50,1.3451783228236263e-47
2,Nova1,14.341124,1.3569238,1.2107890505597387e-46,1.4534311762919103e-44
2,Gria4,14.17462,1.1991926,1.3155346824911254e-45,1.4621924378355064e-43
2,Cntn5,14.05245,1.043729,7.441422185857294e-45,7.975609992770621e-43
2,Lhfpl3,14.048912,1.4931973,7.822642665431998e-45,8.095086427228079e-43
2,Grik1,13.959676,1.4716856,2.7467872717396126e-44,2.659067291125993e-42
2,Lrp1b,13.284882,1.0388818,2.83306411827938e-40,2.5763713390777033e-38
2,Brinp3,13.229628,1.5977198,5.917971138097134e-40,5.223479819243971e-38
2,Pcdh17,13.13764,1.5521597,2.0037889005827857e-39,1.7181058544711255e-37
2,Cdh18,12.664641,1.3487921,9.284325719834251e-37,7.144169611595536e-35
2,Mgat4c,12.647825,1.1209847,1.15014368604909e-36,8.628953004583297e-35
2,Dpp10,12.6344595,1.0775151,1.363274427841744e-36,9.978503799885546e-35
2,Ralyl,12.62223,1.0545695,1.5924788527833558e-36,1.137864056476869e-34
2,Tenm1,12.606331,1.2785051,1.9485638821197957e-36,1.3599163279631412e-34
2,Kcnip4,12.602138,1.0519825,2.0549940450576767e-36,1.4015993475495653e-34
2,Car10,12.570339,1.1656508,3.0740265699610704e-36,2.0500341636562606e-34
2,Rims1,12.086159,1.048886,1.249951477347667e-33,7.502208767040696e-32
2,Grm5,11.998146,1.150021,3.633443415577538e-33,2.1380320961074885e-31
2,March1,11.922014,1.0915148,9.088484127125587e-33,5.14613978594413e-31
2,Lrfn5,11.857369,1.1495775,1.970705180483175e-32,1.0560868297553587e-30
2,Gap43,11.855316,1.263647,2.01960544542666e-32,1.063304551179896e-30
2,Rtn1,11.555024,1.0094016,6.962804465268055e-31,3.4254715082408904e-29
